Symbol,Name,PE Ratio,Dividend Yield,Earnings Growth
TEAM,Atlassian Corporation,0.0,0.0,0.0
MMM,3M Company,0.0,0.16443207690361747,0.005506039657587149
MCK,McKesson Corporation,0.09832236803753938,0.011636731090311155,0.0017659067819153194
PH,Parker-Hannifin Corporation,0.08788698633856763,0.02757399443460663,0.005429121757830402
ROP,"Roper Technologies, Inc.",0.05360948632914974,0.0131545661522894,0.0005576547732364165
E,ENI S.p.A.,0.2145148470902326,0.16114343536554512,0.0008749411097329987
MNST,Monster Beverage Corporation,0.06243951279142794,0.0,0.0045093118732393005
PSX,Phillips 66,0.22803096761662844,0.07184416898558056,0.0022242092679659376
EPD,Enterprise Products Partners L.,0.19985283033132076,0.18264608145712113,0.0034613054890536214
CTAS,Cintas Corporation,0.0510926767414421,0.020996711358461928,0.0036247560260367086
HUM,Humana Inc.,0.12509789245514616,0.024285352896534277,0.0
MPC,Marathon Petroleum Corporation,0.2929818644616405,0.048823678219074115,0.0016505299322801985
ORLY,"O'Reilly Automotive, Inc.",0.08411427179075971,0.0,0.0034677153140333502
BNS,Bank Nova Scotia Halifax Pfd 3,0.1980496293797196,0.1669617910447761,0.0019838408312261033
CHTR,"Charter Communications, Inc.",0.21811623100855349,0.0,0.0028683966784286952
ECL,Ecolab Inc.,0.05040681566776051,0.025550212496837844,0.0
ING,"ING Group, N.V.",0.27058476493370537,0.1482418416392613,0.00047432704849994074
TT,Trane Technologies plc,0.07316184455472712,0.02959777384265115,0.0036375756759961667
PFH,"Prudential Financial, Inc. 4.12",0.0,0.0,0.0
EMR,Emerson Electric Company,0.07470874866194466,0.04958259549709082,0.00011858176212498492
TDG,Transdigm Group Incorporated,0.04604495024870362,0.0,0.004608664160425099
BBVA,Banco Bilbao Vizcaya Argentaria,0.2919302798253339,0.11206677713129268,0.004192025536742719
APO,"Apollo Global Management, Inc. ",0.1693095261759923,0.03845180875284594,0.015079113264812304
HMC,"Honda Motor Company, Ltd.",0.2297131316564739,0.07159119150012647,0.0033811826768070092
PXD,Pioneer Natural Resources Compa,0.19146845728364825,0.11864406779661016,0.0027402001788341167
NSC,Norfolk Southern Corporation,0.07220386941270253,0.05236529218315203,0.002092807855881495
ADSK,"Autodesk, Inc.",0.038842795094451654,0.0,0.003861919550286679
OXY,Occidental Petroleum Corporatio,0.14613173335715313,0.03668100177080698,0.001906922931469356
MSI,"Motorola Solutions, Inc.",0.0699771082872967,0.02959777384265115,0.00316645353998609
MRVL,"Marvell Technology, Inc.",0.0,0.008601062990134075,0.0
EL,"Estee Lauder Companies, Inc. (T",0.020423251126592552,0.04401720212496838,0.0024741924421753663
PCG,Pacific Gas & Electric Co.,0.13909371887531544,0.002529724007083228,0.005659875457100644
PSA,Public Storage,0.08946162150483944,0.10599544649633189,0.0033619532018678224
RSG,"Republic Services, Inc.",0.06499693613150374,0.028838856564634453,0.003611936376077251
DELL,Dell Technologies Inc.,0.09201972129692598,0.0409815330129016,0.01312411664599498
WPP,WPP plc,0.032745983507797484,0.13609916519099416,0.0
AESC,The AES Corporation Corporate,0.0,0.0,0.0016537348447700634
PCAR,PACCAR Inc.,0.17551231053402883,0.024032380470528712,0.004813778559776425
DHI,"D.R. Horton, Inc.",0.20779756995027823,0.020237794080445234,0.003192092839905006
MCHP,Microchip Technology Incorporat,0.11766373592437762,0.05084745509739438,0.002288307517763227
COF,Capital One Financial Corporati,0.19408004659745928,0.04427017455097394,0.0016857839696687081
MET,"MetLife, Inc.",0.060937045130670345,0.07538578294965848,0.0011762028837802583
TFC,Truist Financial Corporation,0.0,0.14874778649127243,0.0
CCI,Crown Castle Inc.,0.0738913345930633,0.1452061801163673,0.002717765791405065
GM,General Motors Company,0.37341539529405826,0.03010371869466228,0.0035542479512596903
WELL,Welltower Inc.,0.017562087897342087,0.06551985580571716,0.0
F,Ford Motor Company,0.19566313019775522,0.12446243359473816,0.0
AJG,Arthur J. Gallagher & Co.,0.04234883054904755,0.024285352896534277,0.0
CARR,Carrier Global Corporation,0.06784147032330798,0.0349101935239059,0.004986843834229106
CRH,CRH PLC,0.11113640191827162,0.04199342271692385,0.0017691116944051843
